kernel,mode,A,B,C,dt,D,n_seeds,raw_nll,raw_nll_std,raw_nll_ci95_low,raw_nll_ci95_high,raw_ppl,raw_ppl_std,raw_ppl_ci95_low,raw_ppl_ci95_high,weighted_nll,weighted_nll_std,weighted_nll_ci95_low,weighted_nll_ci95_high,weighted_ppl,weighted_ppl_std,weighted_ppl_ci95_low,weighted_ppl_ci95_high,error
hypernet,full,✓,✓,✓,✓,✓,10,5.622713727262482,0.3987715470355127,5.37555256174105,5.869874892783915,297.2076277765764,118.37130935293028,223.8403301309326,370.57492542222013,3.733285223795125,0.367115391947435,3.505744746473896,3.960825701116354,44.38235230332561,15.879373390340549,34.540214708295366,54.224489898355856,
hypernet,all_except_A,✗,✓,✓,✓,✓,10,5.860383733324929,0.41976938922893803,5.600207970376615,6.120559496273244,379.58255265471104,156.72114756070812,282.44577902850386,476.7193262809182,3.911841551124963,0.379022640242564,3.676920884849292,4.146762217400634,53.25637981865144,19.594191173014465,41.11177430761499,65.40098532968788,
hypernet,A_only,✓,✗,✗,✗,✗,10,5.885614937825092,0.39004164270487024,5.643864623065938,6.127365252584245,384.8417485284882,145.62037247049264,294.5853065856361,475.09819047134033,4.073539995581895,0.411100370373976,3.8187373461870635,4.328342644976727,63.31346357414352,25.351699885752698,47.60031719172576,79.02660995656129,
hypernet,dt_only,✗,✗,✗,✓,✗,10,6.001515122408348,0.40722754251997223,5.749112876586377,6.253917368230319,435.2180296794236,175.7662143477995,326.2770013627186,544.1590579961286,4.042075783215915,0.40807337226527635,3.7891492866863996,4.295002279745431,61.28689035343077,24.373273659864722,46.1801788286777,76.39360187818384,
hypernet,BC_only,✗,✓,✓,✗,✗,10,6.043969428458468,0.4225588479359207,5.7820647410913555,6.305874115825581,456.62192381691966,190.34265940952224,338.6463212498766,574.5975263839628,4.074747607597296,0.4025642708959358,3.8252356874726035,4.324259527721989,63.1964427010783,24.74214238395444,47.86110397248337,78.53178142967323,
hypernet,all_except_dt,✓,✓,✓,✗,✓,10,5.6262013767525705,0.40980495799421096,5.372201632269069,5.880201121236072,299.50200207482095,123.07652236301239,223.2183831915064,375.7856209581355,3.74174864311964,0.36797151507940934,3.51367753518371,3.96981975105557,44.77283440176991,16.066488098118203,34.814721909322,54.73094689421782,
hypernet,D_only,✗,✗,✗,✗,✓,10,5.7526326508108125,0.4194195400117744,5.492673726653815,6.01259157496781,341.0452318540441,143.03460026909795,252.39146812587595,429.6989955822123,3.783391876482382,0.36217369293312107,3.558914295942816,4.007869457021948,46.5929925150876,16.49572679540714,36.36883512174964,56.81714990842556,
hypernet,none,✗,✗,✗,✗,✗,10,5.9380427150815125,0.4002639691201451,5.689956536768596,6.186128893394429,407.3940471605164,161.28872437550953,307.42626009428955,507.3618342267432,3.995660919748926,0.3998118014763832,3.747854997845159,4.243466841652692,58.34238825689255,22.795204138818125,44.21377435468873,72.47100215909637,
chebyshev,full,✓,✓,✓,✓,✓,10,3.776957428075808,0.2566694645537405,3.617872045769896,3.93604281038172,45.004986948067874,11.634023954780261,37.794144194255054,52.21582970188069,2.5465120623629662,0.2495865882661758,2.391816692262019,2.7012074324639133,13.127025450642492,3.296133311179447,11.084060858606092,15.169990042678892,
chebyshev,all_except_A,✗,✓,✓,✓,✓,10,4.219869074799165,0.29907256872051513,4.03450197624369,4.40523617335464,70.79967953492782,20.933521126584868,57.82494871830444,83.7744103515512,2.7808384123854277,0.2652545428942087,2.6164319433959315,2.945244881374924,16.653139283149738,4.435411483166794,13.9040427643627,19.402235801936776,
