kernel,mode,A,B,C,dt,D,raw_nll,raw_ppl,weighted_nll,weighted_ppl,mdlm_masked_ppl,error
hypernet,full,✓,✓,✓,✓,✓,5.7062137695709705,300.73027587270514,3.770642156831739,43.4079305869809,50001939381.79352,
hypernet,all_except_A,✗,✓,✓,✓,✓,5.556072193927558,258.8043042164425,4.249919641207166,70.09977898672857,107894091781.56787,
hypernet,A_only,✓,✗,✗,✗,✗,6.024402468584926,413.39455197672135,3.9196743526823457,50.384034680512066,25644790589.33356,
hypernet,dt_only,✗,✗,✗,✓,✗,6.118286045313223,454.0857447575081,3.7441365695320283,42.27249209933733,220768649053.74936,
hypernet,BC_only,✗,✓,✓,✗,✗,6.637927673618791,763.5111082118458,3.90694995915974,49.74698999492839,8892059911.904104,
hypernet,all_except_dt,✓,✓,✓,✗,✓,5.760598557267765,317.53833692620174,4.003761659525648,54.803916453272095,3494355727.978243,
hypernet,D_only,✗,✗,✗,✗,✓,5.683944010394527,294.10710696371837,4.017465100675374,55.560087939839285,14756569493.59059,
hypernet,none,✗,✗,✗,✗,✗,5.727587573151485,307.2272104859359,4.056233687352567,57.75637236820139,85347042961.45477,
chebyshev,full,✓,✓,✓,✓,✓,4.090865471972669,59.791617286357535,2.348972332933373,10.474799585053438,2046850.8778520478,
chebyshev,all_except_A,✗,✓,✓,✓,✓,4.375712918239365,79.49649385535379,2.766854205602337,15.908510309095519,25556419.02838702,
chebyshev,A_only,✓,✗,✗,✗,✗,5.004449616400833,149.07501213346268,3.3870598512493766,29.578858055578777,3989267465.2699614,
chebyshev,dt_only,✗,✗,✗,✓,✗,6.188037285356261,486.8895425557092,3.6973294344354657,40.33943128703409,6604460425.588665,
chebyshev,BC_only,✗,✓,✓,✗,✗,3.965440623113283,52.74350427741726,3.6874974112978816,39.9447564706124,24350896554.306503,
chebyshev,all_except_dt,✓,✓,✓,✗,✓,3.7344597005635283,41.865399599444196,2.684516821956555,14.651120569983153,12834164.158382865,
chebyshev,D_only,✗,✗,✗,✗,✓,5.459214167251736,234.91274968135065,4.387433738874257,80.43373991773298,66591124565.75411,
chebyshev,none,✗,✗,✗,✗,✗,6.5312955909625945,686.2867827085222,3.600066938376973,36.60068435208726,18803876184.17837,
dct,full,✓,✓,✓,✓,✓,3.4671535029445852,32.045395373277174,2.8507999754261686,17.30161717443877,45990754.33235016,
dct,all_except_A,✗,✓,✓,✓,✓,4.0339336973308155,56.48266050481633,2.936635993367574,18.8523201908575,140152904.52555087,
dct,A_only,✓,✗,✗,✗,✗,4.567590900636298,96.31180535398879,3.4809015157680934,32.488998221613826,5458683343.25116,
dct,dt_only,✗,✗,✗,✓,✗,5.8188353070464345,336.57981311788,4.0368686186717255,56.64867617281847,50175280124.893105,
dct,BC_only,✗,✓,✓,✗,✗,4.572657413523349,96.80100858776552,3.1095642284434697,22.411276075862446,256181253.43444046,
dct,all_except_dt,✓,✓,✓,✗,✓,3.6296192522555133,37.69846028056134,2.6832318004168556,14.632305655844016,11736792.75031058,
dct,D_only,✗,✗,✗,✗,✓,5.392016200976127,219.64578947161735,4.6804807843423415,107.82189919258148,153120111407.9435,
dct,none,✗,✗,✗,✗,✗,5.994371953542332,401.1646548157894,3.9877073038718485,53.93109988782571,48484028232.095955,
